class,x1,x2
0.000,-0.932,-0.654
1.000,1.405,0.495
0.000,-1.044,-0.474
0.000,-0.116,-0.062
0.000,-1.447,-1.690
1.000,0.766,0.578
1.000,0.651,0.807
1.000,0.800,0.144
0.000,-0.697,0.190
1.000,1.344,0.462
0.000,-1.220,-1.267
0.000,-0.273,-0.057
0.000,-1.831,-2.975
1.000,1.288,1.158
0.000,-0.078,1.248
1.000,0.694,0.214
1.000,0.617,0.292
1.000,0.942,0.107
0.000,-0.120,0.846
1.000,0.757,0.403
1.000,1.149,0.411
0.000,-1.078,-0.901
1.000,0.903,0.585
1.000,1.043,0.905
0.000,-0.766,0.173
0.000,-0.433,0.513
1.000,1.430,-0.093
1.000,1.032,0.549
1.000,1.206,0.275
0.000,-1.370,-1.591
1.000,0.456,0.264
0.000,-0.756,-0.086
1.000,0.858,0.245
0.000,-1.181,-1.766
1.000,0.540,0.179
1.000,0.908,0.017
0.000,-0.691,0.520
0.000,-0.953,-0.489
1.000,0.422,0.558
0.000,-1.319,-0.535
1.000,1.107,0.646
0.000,-1.368,-1.359
1.000,1.170,0.485
0.000,-2.038,-1.924
1.000,0.870,0.169
1.000,1.050,0.671
1.000,0.977,0.636
1.000,1.187,0.999
0.000,0.500,1.780
0.000,-1.981,-3.570
0.000,-1.780,-3.094
1.000,0.812,-0.020
0.000,-0.494,0.590
0.000,-1.379,-2.203
1.000,1.168,0.304
0.000,-1.892,-2.412
1.000,1.084,0.246
1.000,0.830,-0.632
0.000,-1.196,-0.716
0.000,-0.759,0.964
0.000,-1.303,-1.752
0.000,-1.901,-2.015
0.000,-1.304,-1.586
0.000,-0.019,1.602
1.000,1.008,0.654
0.000,-1.052,-1.202
1.000,1.033,0.150
1.000,0.731,0.092
0.000,-0.990,0.455
1.000,1.059,0.029
0.000,-0.290,1.952
0.000,-1.485,-1.625
0.000,-1.237,-1.446
0.000,-0.352,-0.085
1.000,0.835,0.157
0.000,-0.411,0.998
0.000,-1.174,-0.007
1.000,0.641,1.001
0.000,-1.662,-1.644
1.000,0.642,0.084
1.000,1.035,0.617
0.000,-2.081,-1.757
1.000,1.109,-0.112
1.000,0.376,0.606
1.000,1.132,0.616
0.000,-0.794,0.667
0.000,-1.571,-1.962
1.000,0.992,1.166
0.000,0.008,1.258
1.000,0.500,0.645
0.000,0.397,2.579
0.000,-2.135,-2.464
1.000,0.735,0.923
0.000,-0.561,0.076
1.000,0.782,0.934
0.000,-0.142,1.446
1.000,0.441,0.309
1.000,0.598,0.496
0.000,-0.803,-0.723
1.000,0.804,0.520
0.000,-2.371,-2.689
1.000,0.718,0.174
0.000,-0.125,2.358
0.000,-0.975,-1.144
1.000,0.915,1.406
0.000,-0.520,0.212
0.000,-1.043,-0.085
1.000,1.005,1.271
1.000,0.971,0.493
1.000,1.108,0.898
1.000,0.691,0.630
0.000,-0.950,-1.506
1.000,0.601,0.226
1.000,0.933,0.800
0.000,-0.770,-0.175
1.000,0.632,0.397
0.000,-2.432,-3.050
1.000,0.836,-0.161
1.000,0.605,-0.228
0.000,-0.561,0.238
0.000,-1.330,-1.357
1.000,0.742,0.493
1.000,1.031,1.149
0.000,-1.085,-0.627
1.000,1.340,0.885
1.000,0.850,0.424
0.000,-1.431,-1.010
1.000,0.671,0.820
1.000,0.803,1.418
1.000,1.120,1.023
1.000,0.487,0.626
0.000,-0.602,0.808
0.000,-1.252,-0.322
0.000,-1.445,-1.688
0.000,-1.286,-0.860
1.000,0.521,0.178
1.000,0.951,0.369
0.000,-1.133,-0.571
0.000,-0.214,-0.410
0.000,-0.988,-0.428
0.000,-0.251,1.017
0.000,-1.030,-1.708
1.000,0.892,0.937
1.000,0.875,0.471
0.000,-0.592,0.125
1.000,0.920,0.820
0.000,-1.246,-1.132
0.000,-0.934,-1.144
0.000,-1.535,-0.995
1.000,0.831,0.320
0.000,-0.819,0.691
0.000,-0.476,-0.581
1.000,0.992,-0.360
1.000,0.816,0.268
1.000,0.892,0.664
0.000,-0.649,-0.420
0.000,-0.669,-0.185
0.000,-0.965,-0.801
0.000,-2.259,-2.372
0.000,-0.962,-0.072
1.000,1.569,0.484
0.000,-1.381,-1.217
0.000,-0.054,0.962
1.000,0.388,0.663
0.000,-1.850,-1.074
0.000,-1.035,-0.103
0.000,-1.062,-0.668
0.000,-0.219,0.657
1.000,1.239,0.180
1.000,0.968,1.139
1.000,0.815,0.663
0.000,-0.382,1.096
1.000,1.232,-0.054
0.000,-0.760,-0.599
0.000,-1.036,-1.730
0.000,-0.971,-0.865
1.000,0.803,0.205
1.000,1.264,0.661
1.000,1.070,0.008
0.000,-0.491,-0.648
0.000,-0.906,0.248
1.000,0.564,-0.156
0.000,-1.231,-0.078
0.000,-0.143,0.190
0.000,-0.352,0.299
0.000,0.465,2.689
1.000,0.700,0.037
1.000,1.182,-0.449
1.000,0.893,0.547
0.000,-1.196,-1.153
1.000,0.811,0.430
0.000,-0.589,1.334
1.000,0.926,0.710
1.000,1.032,-0.175
1.000,1.171,0.138
1.000,0.871,0.105
1.000,0.759,0.468
0.000,-0.884,-0.508
1.000,0.872,0.679
1.000,0.704,0.607
0.000,-1.039,-0.146
1.000,0.740,0.721
1.000,0.704,0.584
1.000,1.186,0.424
0.000,-1.211,-0.526
1.000,1.138,1.028
0.000,-0.042,1.518
0.000,-1.314,-1.718
0.000,-1.604,-1.233
1.000,0.699,0.894
0.000,-0.603,-0.547
0.000,-0.304,-0.087
1.000,0.709,1.005
0.000,-1.137,-1.309
1.000,0.767,-0.553
0.000,-0.184,0.687
1.000,0.533,-0.077
0.000,-0.765,-0.437
1.000,0.701,0.445
0.000,-0.341,0.461
0.000,-0.578,-0.080
1.000,0.755,0.767
1.000,1.119,0.534
0.000,0.034,0.627
0.000,-1.465,-1.909
0.000,-0.520,0.084
1.000,0.866,1.082
1.000,0.787,0.613
1.000,0.980,1.313
1.000,0.444,0.653
1.000,0.706,0.352
0.000,-0.425,1.041
0.000,-1.319,-1.125
0.000,-0.944,-0.320
1.000,0.879,0.208
0.000,-1.165,-1.737
1.000,1.115,0.541
1.000,0.968,0.367
1.000,0.832,0.345
0.000,-0.372,0.191
0.000,-0.589,0.486
1.000,1.012,0.565
1.000,0.698,0.601
0.000,-0.769,0.724
1.000,0.978,0.681
1.000,1.227,0.591
1.000,0.819,0.580
1.000,1.096,0.098
1.000,0.861,0.443
1.000,0.926,0.782
0.000,-0.199,-0.079
0.000,-1.073,-0.588
0.000,-0.377,1.182
1.000,0.577,0.812
1.000,0.933,-0.077
1.000,0.731,0.337
1.000,0.791,0.335
1.000,0.796,0.922
0.000,-0.725,-0.822
0.000,-0.813,-0.478
0.000,-2.064,-3.502
0.000,-1.397,-2.146
0.000,-0.123,0.187
0.000,-0.753,0.116
1.000,1.286,0.720
0.000,-1.045,-1.721
1.000,1.280,0.708
0.000,-0.682,-0.019
0.000,-2.203,-3.174
0.000,0.125,1.740
1.000,0.766,0.319
0.000,-0.457,-0.280
0.000,-0.484,0.062
1.000,0.870,0.398
0.000,-1.240,-0.973
1.000,1.146,0.731
0.000,-0.468,1.410
0.000,-0.513,0.079
1.000,1.242,0.474
0.000,-0.322,0.741
1.000,1.130,-0.486
