class,x1,x2
2,0.124,-1.617
0,-1.18,0.449
1,1.37,0.22
1,0.906,0.728
2,0.236,-1.724
2,0.331,-1.267
1,0.975,0.411
2,0.073,-1.083
2,0.217,-1.415
2,0.141,-1.311
0,-2.231,-0.125
2,0.181,-1.236
2,-0.093,-1.27
2,-0.331,-1.17
2,0.072,-1.103
2,0.189,-1.469
1,1.357,1.139
1,0.872,1.11
1,0.926,0.876
1,0.563,0.86
0,-1.596,0
1,0.78,0.701
1,0.512,0.888
0,-1.397,0.717
0,-1.616,0.159
0,-1.65,0.218
1,1.105,0.832
2,0.116,-1.244
0,-1.352,0.301
2,0.226,-1.375
2,0.07,-1.272
2,0.145,-1.032
1,1.007,0.647
1,0.525,0.922
2,0.153,-1.381
0,-1.137,0.923
1,0.873,0.792
0,-1.435,0.696
1,0.876,0.889
2,0.247,-1.218
2,0.531,-1.599
2,0.148,-1.551
2,-0.03,-1.106
1,0.995,0.34
0,-1.311,0.675
2,0.093,-1.437
1,0.985,0.597
1,0.878,0.737
2,0.115,-1.34
1,1.003,0.873
1,0.963,1.083
0,-1.354,0.541
2,-0.373,-0.843
0,-1.076,0.866
1,0.968,0.892
1,0.766,0.392
1,0.746,0.7
2,0.141,-1.559
0,-1.408,0.269
0,-0.736,0.719
0,-0.283,1.222
1,1.782,0.33
0,-1.856,0.394
0,-1.491,0.432
0,-1.569,0.255
0,-1.361,0.123
0,-1.726,-0.046
2,0.117,-1.262
1,1.172,0.821
2,-0.076,-1.501
2,-0.064,-1.348
1,0.91,1.077
2,0.125,-1.496
0,-2.279,-0.244
1,0.759,0.823
0,-1.011,0.959
1,0.686,0.482
2,0.162,-1.274
1,1.204,0.948
0,-0.989,1.138
1,1.05,0.791
0,-0.948,0.878
2,0.059,-1.083
1,1.196,0.313
2,0.153,-1.105
2,0.346,-1.434
2,0.272,-1.497
1,1.062,0.932
0,-1.232,0.695
0,-0.975,0.75
1,1.332,0.85
2,0.049,-1.162
1,1.171,0.434
1,1.47,0.635
0,-1.515,0.25
0,-0.748,0.892
0,-0.974,0.704
2,0.44,-1.134
2,0.038,-1.13
2,0.505,-1.821
2,0.262,-1.281
0,-1.656,0.216
2,0.048,-1.129
0,-0.891,0.699
0,-1.216,0.502
1,0.869,0.885
2,0.548,-1.386
0,-1.148,0.638
2,-0.01,-1.238
2,-0.006,-0.987
2,-0.113,-0.978
0,-0.635,1.167
0,-0.98,0.455
1,1.352,0.806
2,0.107,-1.517
2,0.159,-1.437
1,1.107,0.881
2,-0.122,-1.471
0,-1.448,0.31
0,-1.503,0.545
2,-0.04,-1.267
1,1.264,0.93
2,0.245,-1.38
1,0.807,0.577
0,-1.226,0.527
0,-1.316,0.682
0,-1,0.762
0,-0.723,0.717
2,-0.064,-1.209
0,-1.29,0.561
1,0.872,0.55
0,-2.075,-0.063
2,0.211,-1.231
1,0.94,1.122
0,-1.467,0.46
2,0.071,-1.595
1,1.276,0.751
2,0.275,-1.15
0,-1.119,0.941
2,-0.104,-1.103
2,0.307,-1.6
2,0.238,-1.538
2,0.176,-1.366
2,0.287,-1.1
0,-1.455,0.614
1,1.445,0.847
2,0.149,-1.309
1,1.017,0.733
2,-0.131,-1.103
1,1.017,0.718
0,-1.31,0.261
1,0.708,0.925
2,0.082,-1.318
1,0.806,1.123
2,0.239,-0.948
1,0.657,0.541
1,1.611,0.784
1,1.09,0.461
0,-0.523,1.232
0,-1.005,0.706
2,0.206,-1.368
0,-1.653,0.402
0,-0.853,0.814
0,-0.858,1.073
2,0.021,-1.224
1,1.07,0.652
0,-1.295,0.191
1,1.163,0.854
1,1.324,1.062
2,-0.145,-1.375
0,-1.259,0.595
2,0.146,-1.42
0,-1.986,-0.077
0,-1.14,0.657
1,1.11,1.364
1,1.515,0.949
0,-0.912,0.848
0,-1.327,0.549
1,1.411,0.78
1,1.472,0.809
1,0.492,0.837
2,-0.057,-1.551
1,0.673,0.633
2,0.575,-1.553
1,0.986,1.371
0,-1.315,0.661
2,0.39,-1.631
1,1.102,0.537
0,-0.797,0.519
0,-1.465,0.287
0,-1.449,0.116
1,0.961,0.583
2,0.373,-1.63
2,0.43,-1.788
2,0.192,-1.281
2,0.115,-1.585
1,0.916,0.956
0,-1.077,0.814
0,-1.465,0.391
2,-0.252,-1.079
2,-0.099,-0.638
2,-0.054,-1.019
1,1.214,0.97
2,0.059,-1.46
1,1.433,0.691
0,-1.565,0.188
2,0.62,-1.769
2,0.405,-1.42
0,-1.752,0.188
0,-1.813,0.212
1,0.736,0.562
1,1.015,0.573
1,1.046,0.673
0,-0.969,0.692
0,-1.823,-0.042
1,1.26,0.927
2,0.206,-1.502
0,-1.25,0.893
0,-0.779,0.9
2,0.355,-1.329
0,-0.863,1.043
2,0.078,-1.365
1,1.24,0.854
1,1.391,0.709
1,0.918,0.821
2,0.292,-1.19
0,-1.414,0.805
0,-1.26,0.48
1,1.579,0.985
0,-1.596,0.339
2,-0.227,-1.109
1,1.13,0.482
2,0.425,-1.338
1,1.015,0.151
2,0.006,-1.222
0,-0.496,1.13
0,-1.144,0.634
0,-0.991,0.502
0,-1.754,0.121
0,-0.778,0.631
1,1.336,0.845
1,1.207,1.044
2,0.347,-1.477
2,0.058,-1.279
0,-1.588,0.39
